number,title,state,owner,assignee_group,milestone,labels,action,close_reason,url
28,Run Final Contamination Check Across Repo,OPEN,nabothan,nabothan,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: nabothan|area: frontend|area: docs|area: deployment|area: qa|legacy-gemini-task|cleanup|status: legacy review|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/28
27,Finalize Hybrid Routing Demonstration,OPEN,nabothan,nabothan,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: nabothan|area: frontend|area: routing-engine|area: docs|area: deployment|area: qa|area: demo|demo-ready|area: submission|legacy-gemini-task|cleanup|status: legacy review|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/27
26,Create and Assign Nabothan Frontend Issues,CLOSED,rama-chandra,rama,M1 - Foundation Completed,status: done|owner: rama-chandra|track: amd-act-ii|hackathon-ready|priority: p0,close,completed foundation work,https://github.com/kaulastudies/omniedge-routeiq/issues/26
25,Create and Assign Rameen Demo and QA Issues,CLOSED,rama-chandra,rama,M1 - Foundation Completed,status: done|owner: rama-chandra|track: amd-act-ii|hackathon-ready|priority: p0,close,completed foundation work,https://github.com/kaulastudies/omniedge-routeiq/issues/25
24,Polish README and Project Documentation,CLOSED,rama-chandra,rama,M1 - Foundation Completed,status: done|owner: rama-chandra|track: amd-act-ii|hackathon-ready|priority: p0,close,completed foundation work,https://github.com/kaulastudies/omniedge-routeiq/issues/24
23,Deploy Frontend on Vercel,CLOSED,rama-chandra,rama,M1 - Foundation Completed,status: done|owner: rama-chandra|track: amd-act-ii|hackathon-ready|priority: p0,close,completed foundation work,https://github.com/kaulastudies/omniedge-routeiq/issues/23
22,Build Command Nexus Dashboard,CLOSED,rama-chandra,rama,M1 - Foundation Completed,status: done|owner: rama-chandra|track: amd-act-ii|hackathon-ready|priority: p0,close,completed foundation work,https://github.com/kaulastudies/omniedge-routeiq/issues/22
21,Deploy Backend API on Render,CLOSED,rama-chandra,rama,M1 - Foundation Completed,status: done|owner: rama-chandra|track: amd-act-ii|hackathon-ready|priority: p0,close,completed foundation work,https://github.com/kaulastudies/omniedge-routeiq/issues/21
20,Clean Old Simulation and Project References,CLOSED,rama-chandra,rama,M1 - Foundation Completed,status: done|owner: rama-chandra|track: amd-act-ii|hackathon-ready|priority: p0,close,completed foundation work,https://github.com/kaulastudies/omniedge-routeiq/issues/20
19,Create Built-in Judge Simulation Scenarios,CLOSED,rama-chandra,rama,M1 - Foundation Completed,status: done|owner: rama-chandra|track: amd-act-ii|hackathon-ready|priority: p0,close,completed foundation work,https://github.com/kaulastudies/omniedge-routeiq/issues/19
18,Add Metrics and Audit Trail System,CLOSED,rama-chandra,rama,M1 - Foundation Completed,status: done|owner: rama-chandra|track: amd-act-ii|hackathon-ready|priority: p0,close,completed foundation work,https://github.com/kaulastudies/omniedge-routeiq/issues/18
17,Implement Routing Classifier and Decision Engine,CLOSED,rama-chandra,rama,M1 - Foundation Completed,status: done|owner: rama-chandra|track: amd-act-ii|hackathon-ready|priority: p0,close,completed foundation work,https://github.com/kaulastudies/omniedge-routeiq/issues/17
16,Implement Local Cloud and Fallback Provider Layer,CLOSED,rama-chandra,rama,M1 - Foundation Completed,status: done|owner: rama-chandra|track: amd-act-ii|hackathon-ready|priority: p0,close,completed foundation work,https://github.com/kaulastudies/omniedge-routeiq/issues/16
15,Build FastAPI Backend Routing API,CLOSED,rama-chandra,rama,M1 - Foundation Completed,status: done|owner: rama-chandra|track: amd-act-ii|hackathon-ready|priority: p0,close,completed foundation work,https://github.com/kaulastudies/omniedge-routeiq/issues/15
14,Initialize OmniEdge RouteIQ Repository Structure,CLOSED,rama-chandra,rama,M1 - Foundation Completed,status: done|owner: rama-chandra|track: amd-act-ii|hackathon-ready|priority: p0,close,completed foundation work,https://github.com/kaulastudies/omniedge-routeiq/issues/14
13,Lock OmniEdge RouteIQ Project Scope,CLOSED,rama-chandra,rama,M1 - Foundation Completed,status: done|owner: rama-chandra|track: amd-act-ii|hackathon-ready|priority: p0,close,completed foundation work,https://github.com/kaulastudies/omniedge-routeiq/issues/13
12,Frontend Final QA and Build Check,OPEN,nabothan,nabothan,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: nabothan|area: frontend|area: routing-engine|area: docs|area: deployment|area: qa|area: demo|demo-ready|area: submission|legacy-gemini-task|cleanup|status: legacy review|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/12
11,Add Clear Demo Status and Error Feedback in Frontend,OPEN,nabothan,nabothan,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: nabothan|area: frontend|area: routing-engine|area: docs|area: deployment|area: demo|demo-ready|legacy-gemini-task|cleanup|status: legacy review|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/11
10,Improve Scenario Cards and Demo Readability,OPEN,nabothan,nabothan,M2 - Team Execution Sprint,track: amd-act-ii|owner: nabothan|area: frontend|area: routing-engine|area: docs|area: demo|demo-ready|status: todo|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/10
9,Polish Command Nexus Dashboard UI for Final Demo,OPEN,nabothan,nabothan,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: nabothan|area: frontend|area: routing-engine|area: deployment|area: demo|demo-ready|legacy-gemini-task|cleanup|status: legacy review|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/9
8,Prepare Final Submission Summary for Hackathon Portal,OPEN,nabothan,nabothan,M2 - Team Execution Sprint,track: amd-act-ii|owner: nabothan|area: frontend|area: routing-engine|area: docs|area: deployment|area: qa|area: demo|demo-ready|area: submission|status: todo|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/8
7,QA Live Demo Before Final Recording,OPEN,nabothan,nabothan,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: nabothan|area: frontend|area: routing-engine|area: docs|area: deployment|area: qa|area: demo|demo-ready|legacy-gemini-task|cleanup|status: legacy review|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/7
6,Create Demo Video Click-Flow and Recording Checklist,OPEN,nabothan,nabothan,M2 - Team Execution Sprint,track: amd-act-ii|owner: nabothan|area: frontend|area: routing-engine|area: docs|area: deployment|area: qa|area: demo|demo-ready|status: todo|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/6
5,Prepare Final Demo Video Script for OmniEdge RouteIQ,OPEN,nabothan,nabothan,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: nabothan|area: frontend|area: routing-engine|area: docs|area: deployment|area: demo|demo-ready|legacy-gemini-task|cleanup|status: legacy review|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/5
4,Initial QA & Documentation Framework,OPEN,rama-chandra,rama,M3 - Final Submission Sprint,track: amd-act-ii|owner: rama-chandra|area: docs|area: qa|area: submission|status: todo|priority: p0|hackathon-ready,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/4
3,Route Decision Backend Logic (FastAPI/Rust),OPEN,rama-chandra,rama,M3 - Final Submission Sprint,track: amd-act-ii|owner: rama-chandra|area: backend|area: routing-engine|status: todo|priority: p1,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/3
2,Dashboard UI Skeleton (Next.js),OPEN,nabothan,nabothan,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: nabothan|area: frontend|legacy-gemini-task|cleanup|status: legacy review|priority: p1,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/2
1,Repository Setup & Playbook Initialization,OPEN,nabothan,nabothan,M0 - Legacy Review and Cleanup,track: amd-act-ii|owner: nabothan|area: frontend|area: docs|legacy-gemini-task|cleanup|status: legacy review|priority: p1,organize,,https://github.com/kaulastudies/omniedge-routeiq/issues/1
